source_attachment,dimension,value,sample_count
training,source_sheet,材料1,3400
training,source_sheet,材料2,3000
training,source_sheet,材料3,3200
training,source_sheet,材料4,2800
training,material,材料1,3400
training,material,材料2,3000
training,material,材料3,3200
training,material,材料4,2800
training,temperature,25,3244
training,temperature,50,3070
training,temperature,70,3030
training,temperature,90,3056
training,waveform_label,三角波,4948
training,waveform_label,梯形波,3398
training,waveform_label,正弦波,4054
waveform_test,source_sheet,测试集,80
waveform_test,material,材料1,20
waveform_test,material,材料2,20
waveform_test,material,材料3,20
waveform_test,material,材料4,20
waveform_test,temperature,25,21
waveform_test,temperature,50,18
waveform_test,temperature,70,24
waveform_test,temperature,90,17
waveform_test,waveform_label,<missing>,80
loss_test,source_sheet,测试集,400
loss_test,material,材料1,100
loss_test,material,材料2,100
loss_test,material,材料3,100
loss_test,material,材料4,100
loss_test,temperature,25,120
loss_test,temperature,50,97
loss_test,temperature,70,89
loss_test,temperature,90,94
loss_test,waveform_label,三角波,153
loss_test,waveform_label,梯形波,104
loss_test,waveform_label,正弦波,143
