sample_id,source_attachment,source_file,source_sheet,source_row,sample_number_raw,material_raw,temperature,frequency,core_loss,waveform_label_raw,waveform_group_id,waveform_duplicate_count,exact_row_duplicate_count,cross_attachment_count,quality_flags
training-c16aee712bc0-S01-R000002,training,data/附件一（训练集）.xlsx,材料1,2,,材料1,25.0,50030.0,1997.95525,正弦波,wg-68ed592df736ea3e,1,1,1,
training-c16aee712bc0-S01-R000003,training,data/附件一（训练集）.xlsx,材料1,3,,材料1,25.0,50020.0,2427.74983,正弦波,wg-c9c768e2f179a974,1,1,1,
training-c16aee712bc0-S01-R000004,training,data/附件一（训练集）.xlsx,材料1,4,,材料1,25.0,50020.0,3332.72576,正弦波,wg-59820ede3af3e16f,1,1,1,
training-c16aee712bc0-S01-R000005,training,data/附件一（训练集）.xlsx,材料1,5,,材料1,25.0,50020.0,4502.908007,正弦波,wg-43590d84c820cb5d,1,1,1,
training-c16aee712bc0-S01-R000006,training,data/附件一（训练集）.xlsx,材料1,6,,材料1,25.0,50030.0,6063.023248,正弦波,wg-7765579cf318b677,1,1,1,
training-c16aee712bc0-S01-R000007,training,data/附件一（训练集）.xlsx,材料1,7,,材料1,25.0,50020.0,14273.85421,正弦波,wg-b69ade25291f96d9,1,1,1,
training-c16aee712bc0-S01-R000008,training,data/附件一（训练集）.xlsx,材料1,8,,材料1,25.0,50020.0,56401.52952,正弦波,wg-35dd0c11cbf88ba8,1,1,1,
training-c16aee712bc0-S01-R000009,training,data/附件一（训练集）.xlsx,材料1,9,,材料1,25.0,50020.0,73651.31728,正弦波,wg-2a1e67176ca62037,1,1,1,
training-c16aee712bc0-S01-R000010,training,data/附件一（训练集）.xlsx,材料1,10,,材料1,25.0,50020.0,125047.8122,正弦波,wg-ddbff8a2ce9d8f2e,1,1,1,
training-c16aee712bc0-S01-R000011,training,data/附件一（训练集）.xlsx,材料1,11,,材料1,25.0,50020.0,161776.6059,正弦波,wg-0d9956b6e39d867b,1,1,1,
training-c16aee712bc0-S01-R000012,training,data/附件一（训练集）.xlsx,材料1,12,,材料1,25.0,50020.0,352985.6272,正弦波,wg-5ce5ef2cd2fd7c34,1,1,1,
training-c16aee712bc0-S01-R000013,training,data/附件一（训练集）.xlsx,材料1,13,,材料1,25.0,50030.0,441717.9624,正弦波,wg-2db39f8304d87d4b,1,1,1,
training-c16aee712bc0-S01-R000014,training,data/附件一（训练集）.xlsx,材料1,14,,材料1,25.0,56320.0,1759.006565,正弦波,wg-bc1795c52e7bb54c,1,1,1,
training-c16aee712bc0-S01-R000015,training,data/附件一（训练集）.xlsx,材料1,15,,材料1,25.0,56310.0,2364.873224,正弦波,wg-5329796cc79f3b56,1,1,1,
training-c16aee712bc0-S01-R000016,training,data/附件一（训练集）.xlsx,材料1,16,,材料1,25.0,56320.0,3132.233226,正弦波,wg-d42a59d8fd418212,1,1,1,
training-c16aee712bc0-S01-R000017,training,data/附件一（训练集）.xlsx,材料1,17,,材料1,25.0,56320.0,4363.429973,正弦波,wg-7abf85a9b3fe25df,1,1,1,
training-c16aee712bc0-S01-R000018,training,data/附件一（训练集）.xlsx,材料1,18,,材料1,25.0,56320.0,5773.018252,正弦波,wg-7b8a5aac73d0a4b0,1,1,1,
training-c16aee712bc0-S01-R000019,training,data/附件一（训练集）.xlsx,材料1,19,,材料1,25.0,56320.0,9988.187279,正弦波,wg-00fb01f16bda0cbf,1,1,1,
training-c16aee712bc0-S01-R000020,training,data/附件一（训练集）.xlsx,材料1,20,,材料1,25.0,56310.0,13463.78092,正弦波,wg-1dd42458bcadab3c,1,1,1,
training-c16aee712bc0-S01-R000021,training,data/附件一（训练集）.xlsx,材料1,21,,材料1,25.0,56310.0,23248.3141,正弦波,wg-a02f061ff3a2070e,1,1,1,
training-c16aee712bc0-S01-R000022,training,data/附件一（训练集）.xlsx,材料1,22,,材料1,25.0,56320.0,39002.19859,正弦波,wg-db6efab2396e311e,1,1,1,
training-c16aee712bc0-S01-R000023,training,data/附件一（训练集）.xlsx,材料1,23,,材料1,25.0,56320.0,50069.23431,正弦波,wg-6e48fa1638bf35a7,1,1,1,
